UniprotID	A0A994J473
Accession	A0A994J473
EntryName	A0A994J473_HUMAN
ProteinName	V-type proton ATPase subunit a
GeneName	ATP6V0A1
Length	795
Function	Essential component of the vacuolar proton pump (V-ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase.
Subcellular Location	Cytoplasmic vesicle; Clathrin-coated vesicle membrane; Cytoplasmic vesicle; Secretory vesicle; Synaptic vesicle membrane; Melanosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0380946
pNuLoCRegion	13...41;81...87;106...115
