UniprotID	H0YBC6
Accession	H0YBC6
EntryName	H0YBC6_HUMAN
ProteinName	dynamin GTPase (EC 3.6.5.5)
GeneName	DNM3
Length	858
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.40635762
pNuLoCRegion	84...106
