UniprotID	Q8TDW7-2
Accession	Q8TDW7;B5MDB0;Q96AU6
EntryName	FAT3_HUMAN
ProteinName	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)
GeneName	FAT3 CDHF15 KIAA1989
Length	1254
Function	May play a role in the interactions between neurites derived from specific subsets of neurons during development.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4150704
pNuLoCRegion	
