UniprotID	Q8TEH3-7
Accession	Q8TEH3;A8MZA3;B1AM80;B7Z3C8;B7Z669;D3PFD3;Q05C88;Q5VWF0;Q6PJZ5;Q8IVD6;Q9H796
EntryName	DEN1A_HUMAN
ProteinName	DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A)
GeneName	DENND1A FAM31A KIAA1608
Length	1010
Function	Guanine nucleotide exchange factor (GEF) regulating clathrin-mediated endocytosis through RAB35 activation. Promotes the exchange of GDP to GTP, converting inactive GDP-bound RAB35 into its active GTP-bound form. Regulates clathrin-mediated endocytosis of synaptic vesicles and mediates exit from early endosomes (PubMed:20154091, PubMed:20937701). Binds phosphatidylinositol-phosphates (PtdInsPs), with some preference for PtdIns(3)P (By similarity).
Subcellular Location	Cytoplasmic vesicle; Clathrin-coated vesicle membrane; Presynaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.89995
pNuLoCRegion	1...25;32...32
