UniprotID	Q14DU5
Accession	Q14DU5
EntryName	Q14DU5_HUMAN
ProteinName	non-specific serine/threonine protein kinase (EC 2.7.11.1)
GeneName	ROCK2
Length	703
Function	
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.40129238
pNuLoCRegion	
