UniprotID	A0A087WUB1
Accession	A0A087WUB1
EntryName	A0A087WUB1_HUMAN
ProteinName	Protein ITPRID1
GeneName	ITPRID1
Length	1054
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8888987
pNuLoCRegion	1...22;48...60
