UniprotID	O94759-2
Accession	O94759;D3DSL6;Q5KTC2;Q6J3P5;Q96KN6;Q96Q93
EntryName	TRPM2_HUMAN
ProteinName	Transient receptor potential cation channel subfamily M member 2 (Estrogen-responsive element-associated gene 1 protein) (Long transient receptor potential channel 2) (LTrpC-2) (LTrpC2) (Transient receptor potential channel 7) (TrpC7) (Transient receptor potential melastatin 2)
GeneName	TRPM2 EREG1 KNP3 LTRPC2 TRPC7
Length	1449
Function	Nonselective, voltage-independent cation channel that mediates Na(+) and Ca(2+) influx, leading to increased cytoplasmic Ca(2+) levels (PubMed:11385575, PubMed:11509734, PubMed:11804595, PubMed:12594222, PubMed:15561722, PubMed:16601673, PubMed:19171771, PubMed:20660597, PubMed:25620041, PubMed:27068538, PubMed:27383051, PubMed:28775320, PubMed:29745897, PubMed:30467180, PubMed:31513012, PubMed:34788616). Functions as a ligand-gated ion channel, gated by intracellular adenosine diphosphate ribose (ADP-ribose), Ca(2+), warm temperature, and oxidative stress (PubMed:19171771, PubMed:25620041, PubMed:28775320, PubMed:30467180). The precise physiological activators are under debate; the true, physiological activators may be ADP-ribose and ADP-ribose-2'-phosphate (PubMed:20650899, PubMed:25918360). Binding of ADP-ribose to the cytoplasmic Nudix domain causes a conformation change; the channel is primed but still requires Ca(2+) binding to trigger channel opening (PubMed:19171771, PubMed:25620041, PubMed:28775320, PubMed:29745897, PubMed:30467180). Extracellular Ca(2+) passes through the channel and increases channel activity (PubMed:19171771). Contributes to Ca(2+) release from intracellular stores in response to ADP-ribose (PubMed:19454650). Plays a role in numerous processes that involve signaling via intracellular Ca(2+) levels (Probable). Besides, mediates the release of lysosomal Zn(2+) stores in response to reactive oxygen species, leading to increased cytosolic Zn(2+) levels (PubMed:25562606, PubMed:27068538). Plays a role in mediating behavorial and physiological responses to moderate heat and thereby contributes to body temperature homeostasis. Plays a role in insulin secretion, a process that requires increased cytoplasmic Ca(2+) levels (By similarity). Required for normal IFNG and cytokine secretion and normal innate immune immunity in response to bacterial infection. Required for normal phagocytosis and cytokine release by macrophages exposed to zymosan (in vitro) (PubMed:22493272). Plays a role in dendritic cell differentiation and maturation, and in dendritic cell chemotaxis via its role in regulating cytoplasmic Ca(2+) levels (By similarity). Plays a role in the regulation of the reorganization of the actin cytoskeleton and filopodia formation in response to reactive oxygen species via its role in increasing cytoplasmic Ca(2+) and Zn(2+) levels (PubMed:27068538). Confers susceptibility to cell death following oxidative stress (PubMed:12594222, PubMed:25562606).
Subcellular Location	Cell membrane; Perikaryon; Cell projection; Cytoplasmic vesicle; Lysosome; Cell membrane; Cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
