UniprotID	A0A3B3ISD5
Accession	A0A3B3ISD5
EntryName	A0A3B3ISD5_HUMAN
ProteinName	histone acetyltransferase (EC 2.3.1.48)
GeneName	KAT6B
Length	733
Function	
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92793125
pNuLoCRegion	28...30;33...42;247...260;296...303;319...346
